Property Name,ZIP Code,Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft)
Prairie House at Central Station,60605,1.5,NEAR SOUTH SIDE,Multifamily Housing,403018,2001,1,,32,10323384.3,13603403.2,,,87.6,158.2,90,159.4,2333.7,8.5
,60610,2,NEAR NORTH SIDE,Multifamily Housing,136591,1929,1,,45,2001486,11475810.2,,,98.7,129.2,104.5,135.2,921.9,6.7
Morningside North Apartments,60610,0,NEAR NORTH SIDE,,243200,,,,,,,,,,,,,,
330 N Clinton,60661,4,NEAR WEST SIDE,Multifamily Housing,76037,2000,1,,91,1358105.6,,,,57.9,98,59.6,99.7,335.9,5.3
Woodlawn Station,60637,2,WOODLAWN,Multifamily Housing,86580,2017,1,,43,1952011.8,3710472.5,,,65.4,108.1,67.6,110.5,501.7,5.8
1819 S Michigan Condominium Association,60616,1,NEAR SOUTH SIDE,Multifamily Housing,53143,2005,1,,11,3780912.2,12504795.5,,,141.9,206.7,147.7,212.1,1254.3,10.9
"Washington Elementary, Harold -CPS",60619,3,BURNSIDE,K-12 School,77300,1920,1,,41,2001866.3,3969969.9,,,77.3,126.4,81.6,131,523.3,6.8
Gateway Centre,60626,1,ROGERS PARK,Retail Store,78136,1980,1,,,10636057.2,599697,,,143.8,389.2,144.8,390.3,1691.8,21.7
630 N Franklin Condominium Association,60654,1.5,,Multifamily Housing,275000,2005,1,,32,6539879.4,13742321.9,,,90.1,145.5,94.5,151.3,1750.6,7.8
,60616,4,NEAR SOUTH SIDE,Office,48000,1904,1,,,97426.9,,,,4.8,8.6,,,22.3,0.5
,60614,3,LINCOLN PARK,Multifamily Housing,38456,1970,1,,68,1158995.8,1977413.1,,,81.6,138.4,83.4,142.3,285.9,7.4
Paper Place Condominiums,60607,0,LOOP,,139879,,,,,,,,,,,,,,
"Hendricks C A, Thomas A -CPS",60609,4,FULLER PARK,K-12 School,56857,1954,1,,69,972862.6,2493320.1,,,61,94,65.4,98.6,284.3,5
Centrum Wicker Park,60622,0,West Town,,88581,,,,,,,,,,,,,,
,60654,4,NEAR NORTH SIDE,Other,75940,1929,1,,,2875271.2,2330265.6,,,68.5,138.2,69.7,139.5,572.5,7.5
Sullivan Center,60660,,EDGEWATER,Mixed Use Property,130027,1967,1,,,6500319.2,,,,50,140,50,140,1014.5,7.8
,60657,4,LAKE VIEW,Multifamily Housing,80576,1972,1,,90,1417133.3,1331337.6,,,36.2,70.7,37.3,72.7,291.9,3.8
Fletcher Jones Chicago Service (Audi),60642,1,West Town,Automobile Dealership,55030,2015,1,,,4962555.8,161902.8,,,93.1,255.6,93.1,255.6,783.1,14.2
Park Manor Elementary -CPS,60637,2,GREATER GRAND CROSSING,K-12 School,62706,1913,1,,23,1664651.4,4664039.9,,,100.9,152.4,110.5,162.5,507.5,8.1
,60607,4,NEAR WEST SIDE,Multifamily Housing,139200,2015,1,,99,1595939.1,3543598.9,,,42.8,68.2,44.8,70.6,437.3,3.6
1130 S Michigan Ave,60605,2.5,LOOP,Multifamily Housing,810159,1967,1,,60,15394169.5,40738355.7,,,78.3,119.7,81.6,123.4,4566.4,6.4
,60610,3,NEAR NORTH SIDE,Multifamily Housing,583000,1929,10,,69,11024196.2,43612026.6,,,93.7,131.5,98.2,135.9,4037,6.9
"Jewel Osco, 03344-Roosevelt & Ashland",60608,2,NEAR WEST SIDE,Supermarket/Grocery Store,63407,2002,1,,47,10120207.2,4681600.1,,,233.4,524.4,236.2,525.8,1828.1,28.8
,60607,3.5,Near West Side,Multifamily Housing,104076,1899,1,,71,1797881.7,5165909.8,,,66.9,100.5,70.1,103.5,555,5.3
33 W Ontario Condominium Association,60654,4,NEAR NORTH SIDE,Multifamily Housing,1210471,2003,1,,88,21300474.5,28702301.1,,,47.9,86.1,50.1,88.7,4848.9,4.6
,60660,4,EDGEWATER,Multifamily Housing,80500,1927,1,,92,1221577.8,4417955.7,,,70.1,100.1,76.6,107,425.3,5.3
CityView Condominium Association,60611,4,NEAR NORTH SIDE,Multifamily Housing,620690,1991,1,,83,10359889.6,20637320.7,,,61.1,100,63.9,102.5,2713,5.4
Merchandise Mart,60654,,NEAR NORTH SIDE,Office,4259185,1930,1,,,97554926.2,76248400.9,,31458239.1,49.7,92.4,51.3,94.1,20933.1,5.1
Forman Mills/Espace,60651,4,AUSTIN,Other - Mall,87000,1980,1,,,2321091.5,2523139.2,,,55.7,105.2,,,496.3,5.7
Hektoen Building,60612,,NEAR WEST SIDE,,184535,,,,,,,,,,,,,,
1934 N Washtenaw Condominium Association,60647,4,LOGAN SQUARE,Multifamily Housing,122864,2001,1,,86,1939674.2,2415054,,,51.8,94.8,52.7,94.8,431,5.1
Ace Hotel Chicago,60607,4,Near West Side,Hotel,140429,2017,1,,62,7992883.7,5534244.1,,,105.3,219.5,107.9,222.2,1541.4,12
AMA Plaza,60611,4,NEAR NORTH SIDE,Office,1881319,1971,1,,75,84953984.2,41766636.5,,38836417.4,88.5,169.5,90,172.8,18346.7,9.8
CICS Loomis,60643,4,WASHINGTON HEIGHTS,K-12 School,150000,1961,1,,69,1052673.7,3295800,,,83,122.3,87.4,126.9,339.3,6.5
,60626,0,ROGERS PARK,,65128,,,,,,,,,,,,,,
Pete's Kedgie,60632,3,BRIGHTON PARK,Supermarket/Grocery Store,104000,1990,,,46,8478849.5,4921832.6,,,248.2,535.3,251.9,539.2,1584.7,29.3
Arthur J. Schmitt Academic Center,60614,4,LINCOLN PARK,College/University,164408,1967,1,,,2736847.9,9923134.1,,,77,110,83.3,116.6,954.2,5.8
,60615,3,HYDE PARK,Multifamily Housing,238232,1918,1,,,7953976.5,5065255.2,,,54.6,115.8,56.7,120.3,1510.4,6.3
,60614,4,LINCOLN PARK,Multifamily Housing,81250,1974,1,,82,1562423.1,4253795.9,,,80.8,122.8,84.4,125.5,469.8,6.5
Edens Office,60646,4,FOREST GLEN,Office,91200,1974,1,,95,1358753,2628173.3,,,43.7,72,,,351.7,3.9
,60613,4,LAKE VIEW,Multifamily Housing,288535,2007,1,,92,4263649,8248096.4,,,56.5,93.1,58.3,94.9,1103.5,5
,60640,3,EDGEWATER,Multifamily Housing,93960,1910,3,,63,1413403.9,4834511.6,,,71,102.7,73.8,105,477.4,5.4
Castellanos Elementary -CPS,60623,4,AUSTIN,K-12 School,84116,1912,1,,91,1010908.5,2449380,,,41.1,64.2,43.9,67.1,287.9,3.4
Metro,60607,4,NEAR WEST SIDE,Multifamily Housing,314000,2001,1,,97,4911168,10320226.1,,,54.2,87.5,56.5,89.6,1314.6,4.7
Hyatt Regency Chicago,60601,4,LOOP,Hotel,2295495,1974,1,,93,50754797.4,99737806.5,,,74.4,122,76.9,124.7,13218.8,6.5
Peck Elementary-CPS,60629,3.5,WEST ELSDON,K-12 School,110691,1926,1,,54,2671453.5,4498029.7,,,64.8,110.2,67.6,113.9,655.8,5.9
College of Education Building,60614,4,LINCOLN PARK,College/University,51170,2000,1,,,3099699.9,3468,,,60.6,169.7,60.6,169.7,484,9.5
,60656,0,OHARE,,102580,,,,,,,,,,,,,,
Foster Park Elementary -CPS,60620,2,AUBURN GRESHAM,K-12 School,68005,1937,1,,30,2688278.2,1924759.9,,,67.8,140.4,72.7,149,521.8,7.7
One Museum Park West,60605,2.5,NEAR SOUTH SIDE,Multifamily Housing,809005,2008,1,,53,19985281.4,29349962.5,,,75.7,133.2,79.7,138.6,4678,7.2
"Nash Elementary, Henry H -CPS",60644,3,AUSTIN,K-12 School,108716,1895,1,,45,2960821.7,5304000.2,,,76,127.5,82.3,137,743.8,6.8
,60603,4,LOOP,Retail Store,56109,1970,1,,,470015,,,,8.4,23.5,8.4,23.5,73.4,1.3
,60614,4,LINCOLN PARK,Multifamily Housing,90140,1928,1,,79,1473997.6,7220577.3,,,96.5,129.9,100.8,133.7,613.6,6.8
Adler Place,60616,3,NEAR SOUTH SIDE,Multifamily Housing,554648,2013,1,,69,10328131,20819901,,,81.1,132.2,84.7,135.4,2717.7,7.1
Chicago Indoor Sports,60609,0,NEW CITY,,341000,,,,,,,,,,,,,,
,60657,4,LAKE VIEW,Multifamily Housing,59960,1961,1,,94,750049.7,2875736.9,,,65.4,92.3,69.9,97.1,269.8,4.9
New Field Primary -CPS,60626,2,ROGERS PARK,K-12 School,85500,2003,1,,22,3362431,3725970.1,,,82.9,155.9,87.8,161,722.7,8.5
210 N Wells St,60606,2,LOOP,Multifamily Housing,597377,2011,1,,19,18187731,10554205.5,,,74.1,159.9,76.4,163.6,3399.1,8.8
,60620,0,AUBURN GRESHAM,,67068,,,,,,,,,,,,,,
Trinity United Church of Christ,60628,,WASHINGTON HEIGHTS,,78501,,,,,,,,,,,,,,
Park View Towers,60614,1,LINCOLN PARK,Multifamily Housing,86222,1975,1,,18,5533097.1,1390332.6,,,80.3,196.6,84.3,205.5,937.4,10.9
Hedges Elementary -CPS,60609,3,NEW CITY,K-12 School,101940,1906,1,,48,2079177.6,5946629.6,,,78.7,118.4,84.3,124.2,640.4,6.3
,60639,0,Belmont Cragin,,72000,,,,,,,,,,,,,,
311 S Wacker,60606,4,LOOP,Office,1627486,1990,1,,75,68926498.9,,,,48.1,134.6,50.3,140.9,10757.3,7.5
The Carlyle Condominium Association,60611,3.5,NEAR NORTH SIDE,Multifamily Housing,562627,1966,1,,71,17321614.8,,,,48.1,110.8,50.2,116.1,3069.2,6.1
641 W Lake St,60661,4,NEAR WEST SIDE,Office,112458,1903,1,,99,1356461.1,1713676.7,,,27.3,49.8,28.7,51.3,302.7,2.7
,60614,1,Lincoln Park,Office,57566,2019,1,,,3608674.2,986191.2,,,79.8,193.5,79.8,193.5,615.6,10.7
Poinsettia Apartments,60637,0,HYDE PARK,,67103,,,,,,,,,,,,,,
,60660,0,EDGEWATER,,95165,,,,,,,,,,,,,,
Granville Beach Condominiums,60660,0,EDGEWATER,,395000,,,,,,,,,,,,,,
550 W. Fulton Condominium Association,60661,4,NEAR WEST SIDE,Multifamily Housing,76037,1999,1,,87,1231906,,,,66.6,103.7,69.6,106.7,352.6,5.5
,60653,4,DOUGLAS,Residential Care Facility,70455,1974,1,,,2374121.1,6678890.5,,,128.5,193.9,132.8,196.9,725.3,10.3
Quadrangle House,60649,1,SOUTH SHORE,Multifamily Housing,322820,1968,1,,11,5094886.3,27136950.6,,,146,193.6,155,203.1,2236.5,10.1
,60657,2.5,LAKE VIEW,Multifamily Housing,52400,1966,1,,57,746150.6,3562950.5,,,82.2,111.3,84.5,113.2,305.7,5.8
Peirce Sch Of Intl Studies -CPS,60660,3,EDGEWATER,K-12 School,133238,1915,1,,50,3162841.2,6318939.5,,,71.2,116.3,78.8,124.3,829.3,6.2
Chicago Military Academy-Bronzeville -CPS,60653,4,DOUGLAS,K-12 School,121900,1915,1,,83,2174158.8,4221609.6,,,52.5,86.3,57.7,91.8,563.5,4.6
Brompton,60657,0,Lake View,,109140,,,,,,,,,,,,,,
The Tides at Lakeshore East,60601,2,LOOP,Multifamily Housing,615718,2007,1,,43,13922609.3,30171568.4,,,91,145.8,94.9,149.4,3775.4,7.8
,60626,0,ROGERS PARK,,76125,,,,,,,,,,,,,,
,60640,0,UPTOWN,,191541,,,,,,,,,,,,,,
Sears,60640,0,LINCOLN SQUARE,,154471,,,,,,,,,,,,,,
,60605,1.5,LOOP,Multifamily Housing,108010,1993,1,,38,4667489.7,1058113.8,,,53,131.3,56.2,139.8,784.7,7.3
,60657,0,LAKE VIEW,,50286,,,,,,,,,,,,,,
IL0303ZZ - Metcalf Federal Bldg,60604,4,LOOP,Office,868473,1991,1,,86,31159545,,,,37.6,105.4,37.6,105.4,4863,5.9
Center Home For Hispanic Elderly,60622,2,WEST TOWN,Senior Living Community,75000,1925,1,,41,1932526.3,10748000,,,169.1,222.6,173.2,226.6,872.5,11.6
1620 S. Michigan Ave Condo Association,60616,0,NEAR SOUTH SIDE,Multifamily Housing,306737,2006,1,,,,14247000,,,,,,,,
Former Sears store,60619,0,AVALON PARK,,70887,,,,,,,,,,,,,,
,60654,2.5,NEAR NORTH SIDE,Multifamily Housing,72842,2006,1,,37,2355624.3,2425874.4,,,81.8,156.4,86.3,161.9,496.5,8.5
,60624,1,HUMBOLDT PARK,Senior Living Community,70370,2009,1,,19,1753054.9,4233200,,,85.1,132.9,89.3,137,498.4,7.1
Continental Plaza Apartments,60620,2.5,AUBURN GRESHAM,Multifamily Housing,203603,2006,1,,33,5918667.3,4405600.4,,,51.4,104.8,51.9,105.4,1157.7,5.7
757 Orleans at Chicago Condominium,60654,2,NEAR NORTH SIDE,Multifamily Housing,412335,2008,1,,50,4816679.3,25776196.7,,,96.2,127.5,100.5,132.1,2120.8,6.7
Vista Tower,60601,0,Loop,,1782886,,,,,,,,,,,,,,
,60661,2.5,NEAR WEST SIDE,Multifamily Housing,475674,2015,1,,51,13254349.4,10513252.6,,,67.5,136.8,69.6,139.9,2627,7.5
Kenect Chicago,60642,2,West Town,Multifamily Housing,125549,2018,1,,20,6101379.6,5147367.2,,,89.6,179.1,93,184.3,1225.6,9.8
111 E Chestnut Condominium Association,60611,3,NEAR NORTH SIDE,Multifamily Housing,672000,1970,1,,42,22604027.9,12209078.2,,,59.2,129.4,62.5,137.6,4176.3,7.1
CASL Senior Housing,60616,3,ARMOUR SQUARE,Multifamily Housing,81994,1997,1,,48,1298132.9,5685877.5,,,102.3,140.7,108,146.7,504.6,7.4
,60602,0,,,700394,,,,,,,,,,,,,,
,60640,2.5,UPTOWN,Multifamily Housing,160000,1920,1,,53,5860089.4,3328385.2,,,57.4,124.4,60.3,129.9,1091.4,6.8
The Patricians,60614,2,LINCOLN PARK,Multifamily Housing,189852,1927,1,,50,3430114.5,17454700,,,110,147.1,114.9,152.3,1462.4,7.7
,60657,0,LAKE VIEW,,74452,,,,,,,,,,,,,,
Our Lady of Victory Parish,60630,0,PORTAGE PARK,Other,120233,1927,5,,,310642.4,,,,,,,,,
,60615,4,HYDE PARK,Multifamily Housing,137394,1928,1,,88,819511.3,8827499.7,,,70.2,84.2,74.9,89.4,596.8,4.3
Vaughn Occupational HS -CPS,60641,2,PORTAGE PARK,K-12 School,50289,1920,1,,24,1996204.9,2772279.7,,,94.8,169,100.9,174.1,458.8,9.1
Argyle Apartments,60640,3.5,UPTOWN,Multifamily Housing,65492,1951,1,,53,968509.8,5458012.2,,,108.9,143.1,115.4,149.9,441.1,7.5
Saint Mary of the Angels Parish,60622,3,LOGAN SQUARE,Other,72186,1899,5,,,814991.9,5337580.1,,,85.2,109.3,91.7,116.6,410.7,5.7
,60618,1,AVONDALE,Retail Store,138000,1925,2,,,4212810.3,1622800,,,153.6,355.3,153.6,355.3,743.7,19.6
,60610,3.5,NEAR NORTH SIDE,Multifamily Housing,167500,1964,1,,56,6903308.2,1280509.7,,,50.7,128,53.6,136.1,1145.4,7.1
The New York Private Residences,60613,4,LAKE VIEW,Multifamily Housing,748762,1987,1,,67,16990289.1,26078721.6,,,69,120.1,71.8,123,4036.8,6.5
The Hudson,60654,2.5,Near North Side,Multifamily Housing,385917,2017,1,,59,10638185.8,6939454,,,59.7,125.9,62,129.3,2028.9,6.9
,60625,3.5,ALBANY PARK,Multifamily Housing,55125,1983,1,,54,1947726.4,2000410.7,,,71.6,137,78.5,151.2,410.2,7.4
Admiral's Pointe Condominium Association,60654,1,NEAR NORTH SIDE,Multifamily Housing,291682,2001,1,,23,5047596.5,14493481.4,,4326312.2,112.5,156.9,116.8,161.5,1785.6,8.4
Presence Center for Advanced Care,60657,,LAKE VIEW,Medical Office,373881,2015,1,,,14724772.5,16945256.2,,,132,246,133.3,247.3,3198.1,13.3
700 N Michigan Ave LLC,60611,,NEAR NORTH SIDE,Retail Store,205137,2000,1,,4,16000311.9,900600,,,95.7,259,96.8,260.2,2545,14.4
1418 N Lake Shore Dr Condo Association,60610,2.5,NEAR NORTH SIDE,Multifamily Housing,105775,1983,1,,39,3983046.2,,,,70,146.6,74.3,155.7,765.3,8
,60605,3,LOOP,Multifamily Housing,270321,2013,4,,62,4565041,4551767,,,57,109.8,58.3,110.4,954.2,6
5430 N. Sheridan,60640,2.5,EDGEWATER,Multifamily Housing,82133,2008,1,,59,1517835,3708784.8,,,86.7,135,90,138.8,433.9,7.2
,60640,0,Uptown,,391791,,,,,,,,,,,,,,
,60610,3.5,NEAR NORTH SIDE,Multifamily Housing,58000,1932,1,,74,3045582.5,2130219.1,,,89.2,185.6,89.2,185.6,588.5,10.1
Dearborn Plaza,60610,4,NEAR NORTH SIDE,Multifamily Housing,79152,1929,1,,89,1353356.2,7395500.2,,,110.5,146,115.9,151.6,604,7.6
,60605,0,NEAR SOUTH SIDE,,161484,,,,,,,,,,,,,,
Nixon -CPS,60639,2.5,HERMOSA,K-12 School,130113,1896,1,,40,2983524.5,7730230,,,82.3,126.6,88,132.2,876.2,6.7
"Target, Bedford Park (0841)",60629,3,"outside Chicago, in Bedford Park",Retail Store,425352,1993,1,,70,6597050.4,2418400,,,71.9,167.6,74.3,169.6,1158,9.2
Polaris Charter Academy Elementary School - CPS,60624,0,HUMBOLDT PARK,,80000,,,,,,,,,,,,,,
161 North Clark,60601,4,LOOP,Office,1253060,1992,1,,72,69734848.1,,,,58.1,162.6,58.1,162.6,10883.5,9.1
155 North Wacker,60606,3.5,LOOP,Office,1484327,2009,1,,77,61273705.5,,,25472818.6,61.7,138.5,62.9,142.8,10905.4,7.8
Chicago Lakeshore Hospital,60640,,UPTOWN,,51140,,,,,,,,,,,,,,
,60610,,NEAR NORTH SIDE,,78199,,,,,,,,,,,,,,
,60613,3.5,LAKE VIEW,Multifamily Housing,101428,1974,1,,77,2010630.2,6051384.1,,,79.5,118.2,82.2,121,635.2,6.3
Greek Islands (200 S Halsted),60661,2.5,NEAR WEST SIDE,Office,115232,1913,1,,38,8407942.3,5928128.5,,,124.4,258.3,127.6,267.4,1627.1,14.1
CoreSite,60605,4,LOOP,Data Center,160000,1919,1,,98,117139297.4,,,,732.1,2049.9,732.1,2049.9,18281.8,114.3
One East Delaware,60611,2.5,NEAR NORTH SIDE,Multifamily Housing,596499,1989,1,,55,12138782.8,19527201,,,62.5,107.6,64.8,109.5,2931.7,5.8
,60649,0,SOUTH SHORE,,205000,,,,,,,,,,,,,,
Skinner North / Schiller Middle -CPS,60610,4,NEAR NORTH SIDE,K-12 School,68922,1961,1,,72,871625.7,3620700,,,65.2,90.6,69,94.6,328.3,4.8
Sabina Senior Housing Corporation (St. Sabina Elders Village),60620,1.5,Auburn Gresham,Multifamily Housing,86040,2000,1,,38,1835819.8,4985198.6,,,88.1,134,88.1,134,551.3,7.1
Washington Square-North and Cicero Development LLC,60639,1.5,AUSTIN,Supermarket/Grocery Store,179477,2008,1,,35,9747304.9,4150779.7,,,239.4,545.2,243.9,549.9,1741.7,30
212 East Condominium,60616,4,NEAR SOUTH SIDE,Multifamily Housing,181723,2003,1,,97,2740381.9,4274849.5,,,46.7,81,48.1,82.8,654.7,4.4
,60649,,SOUTH SHORE,,92966,,,,,,,,,,,,,,
The Chicago Building,60602,3,LOOP,Residence Hall/Dormitory,104965,1904,1,,67,2554315,5914599.6,,1096799.9,91.1,136.8,94.6,140.5,793.8,7.6
"Henry Elementary, Patrick -CPS",60618,4,IRVING PARK,K-12 School,90100,1904,1,,86,875946.2,3867689.9,,,52.6,72.3,57.1,77.2,342.1,3.8
,60640,4,UPTOWN,Multifamily Housing,50100,1930,1,,95,578883.1,3030882.8,,,72.1,95.9,78,102.2,251.3,5
444 N Wells St,60654,4,NEAR NORTH SIDE,Office,73332,1903,1,,82,2804036.4,,,,38.2,107.1,39.6,110.9,437.6,6
Wells Street Tower Condominium Association,60607,1,LOOP,Multifamily Housing,365484,2002,1,,24,9329868.5,16046290,,,95,160.8,98.9,164.4,2308.4,8.6
Locke Elementary -CPS,60634,2.5,MONTCLARE,K-12 School,112000,1927,1,,38,3236081.2,5314830.2,,,76.3,130.7,84.7,139.5,787.3,7
Sheridan Plaza Apartments,60640,3,UPTOWN,Multifamily Housing,165792,1920,1,,44,5621909.4,4990184,,,68.8,136,71.7,140.1,1142.5,7.4
,60657,4,LAKE VIEW,Multifamily Housing,136304,1927,1,,86,1065741.6,7380531.1,,,62,78.7,65.7,82.3,558.3,4.1
Harry J. Schneider Apartments,60660,3,EDGEWATER,Multifamily Housing,111293,1977,1,,50,2636312.6,8996829.8,,,104.5,151.2,111.1,158.1,889.3,8
,60656,4,OHARE,Multifamily Housing,62341,1974,1,,85,1060467.6,3418261.9,,,75,109.8,80.4,114.6,347.1,5.8
Hitch Elementary -CPS,60646,3,NORWOOD PARK,K-12 School,82050,1926,1,,43,3045536.3,1574730,,,56.3,124.1,60,129.3,559,6.8
,60640,0,Uptown,,50000,,,,,,,,,,,,,,
Maple Court Apartments,60653,2,Kenwood,Multifamily Housing,50760,1915,1,,23,421794.8,5861699.8,,,123.8,144.5,131.2,152.3,377.2,7.4
,60615,4,GRAND BOULEVARD,Multifamily Housing,71864,2014,4,,82,1283334.3,3028319.9,,,60,94.2,61.8,94.8,361.1,5
,60626,0,ROGERS PARK,,65620,,,,,,,,,,,,,,
20 N Clark St,60602,4,LOOP,Office,433246,1981,1,,86,17225785.9,,,,39.8,111.3,43.1,120.6,2688.4,6.2
MRR 619 S LaSalle LLC,60605,3,,Multifamily Housing,1217060,1909,1,,67,2472731,3740693.2,,,65.8,114.8,67.3,116.3,584.6,6.2
Academy of General Dentistry,60661,4,NEAR WEST SIDE,Office,113151,1920,1,,74,5515037.5,,,,48.7,136.5,51.9,145.2,860.7,7.6
,60644,0,AUSTIN,,71880,,,,,,,,,,,,,,
,60610,2,NEAR NORTH SIDE,Multifamily Housing,135000,1980,1,,46,5147482.5,3056966.8,,,68.3,146.7,72.2,155.7,965.7,8
Armstrong Intl Studies Elementary -CPS,60645,2,WEST RIDGE,K-12 School,147016,1911,1,,30,4743412.3,7329630.4,,,82.1,142.7,88.5,149.4,1129.6,7.7
Old Cook County Hospital,60612,0,NEAR WEST SIDE,,707000,,,,,,,,,,,,,,
Jensen Scholastic Academy - CPS,60612,4,EAST GARFIELD PARK,K-12 School,64440,1962,1,,65,1242003.7,2721930.2,,,61.5,98.3,65.7,102.7,338.4,5.3
,60640,4,UPTOWN,Multifamily Housing,190476,2004,1,,100,2317164.3,3450673.7,,,40.3,70.6,41.8,72.2,544.9,3.8
"Hayt Elementary, Stephen K -CPS",60660,2.5,EDGEWATER,K-12 School,118800,1906,1,,37,2936876.5,7051350,,,84.1,131.5,92,139.9,832.9,7
Drake Tower Apartments,60611,2,NEAR NORTH SIDE,Multifamily Housing,276310,1928,1,,19,4439096.2,378585.6,19141002.1,,97.3,145.6,,,1983.8,8.1
,60607,0,NEAR WEST SIDE,,108000,,,,,,,,,,,,,,
Lincoln Park Tower Condominium Association,60614,2.5,LINCOLN PARK,Multifamily Housing,413860,1967,1,,36,7640222,26942598.3,,,103.8,149.2,108.5,154.1,2623.5,7.9
,60637,0,WASHINGTON PARK,,60000,,,,,,,,,,,,,,
Sawyer Elementary -CPS,60632,3.5,GAGE PARK,K-12 School,163308,1901,1,,53,4121541.1,6277370.4,,,63.7,111,66.7,114.2,976.7,6
,60616,,ARMOUR SQUARE,,59412,,,,,,,,,,,,,,
Broadview Hall,60637,3,HYDE PARK,Multifamily Housing,48700,1926,1,,65,1723223.8,6083606.1,,,160.3,230.2,168.8,239.2,592.1,12.2
,60609,0,DOUGLAS,,114528,,,,,,,,,,,,,,
U Of Chicago Charter- Donoghue -CPS,60653,2.5,OAKLAND,K-12 School,74828,1963,1,,33,1729414.2,5101539.8,,,91.3,136.3,97,143.4,540.9,7.2
William Castleman Apartments,60640,3,UPTOWN,Multifamily Housing,149600,1967,1,,44,2461297.4,13822846.8,,,108.9,143.1,115,149,1118.3,7.5
,60614,3.5,LINCOLN PARK,Multifamily Housing,80000,1926,1,,71,778195.9,6142080.5,,,86.5,107.9,91.8,113.1,447.7,5.6
Thomas F Flannery Apartments,60610,4,NEAR NORTH SIDE,Multifamily Housing,99696,1965,2,,80,1921672.5,9430782,,,113.9,153.3,120.9,160.6,800.8,8
Clemente Community Academy HS -CPS,60622,2,WEST TOWN,K-12 School,354518,1974,1,,18,23008936.8,1664640,,,69.6,186.7,71.8,192.7,3679.4,10.4
Fenger Achievement Academy -CPS,60628,4,ROSELAND,K-12 School,341000,1926,1,,79,4205664.3,18466879.4,,,66.5,91.4,71.6,96.7,1637.2,4.8
Hamilton Park,60621,1,ENGLEWOOD,Other - Recreation,66458,1905,1,,,991638.6,8869586.5,,,180.1,220.8,192.7,234,625.9,11.4
Lawson Partners,60654,2.5,NEAR NORTH SIDE,Multifamily Housing,259349,1930,1,,55,7114992.6,24162555.1,,,120.6,174.6,127.4,181.9,2393.8,9.2
Cornell Village,60615,4,HYDE PARK,Multifamily Housing,302000,1969,1,,65,5142477.5,18769029.3,,,82.7,118,87.3,122.4,1799.5,6.2
IRI Global Headquarters,60661,,NEAR WEST SIDE,,169750,,,,,,,,,,,,,,
240 N Ashland Ave,60607,4,NEAR WEST SIDE,Office,81887,1900,1,,96,1381791.8,627500,,,24.5,55.3,25.2,55.4,249,3
1825 W Lawrence Ave,60640,0,LINCOLN SQUARE,,53684,,,,,,,,,,,,,,
The 3600 Condominium Association,60613,1,LAKE VIEW,Multifamily Housing,841880,1961,1,,28,15136788.3,61291727.6,,,98.1,136.9,103.6,142.8,5617.9,7.2
,60649,2.5,SOUTH SHORE,Multifamily Housing,77607,1915,1,,51,921992.2,4756125.1,,,73.2,97.6,77.2,101.9,396.5,5.1
Roscoe Square - Chicago,60618,4,NORTH CENTER,Supermarket/Grocery Store,51298,1981,1,,100,571099,3431968,,,78,101.4,82.7,106.3,271.4,5.3
,60628,0,Pullman,,50000,,,,,,,,,,,,,,
NMH 211 East Ontario,60611,4,NEAR NORTH SIDE,Office,188172,1983,1,,61,11063287.2,,,,58.8,164.6,61.5,172.2,1726.6,9.2
International House,60637,4,Hyde Park,Residence Hall/Dormitory,237121,1932,1,,83,3211777,192393,14102727.9,166200,74.5,111,78.9,116.2,1456.6,6.1
Calmeca Fine Arts -CPS,60632,3.5,BRIGHTON PARK,K-12 School,108624,2010,1,,56,2952168.9,3267080.1,,,57.3,107.7,59.3,109.8,634.3,5.8
,60626,3.5,ROGERS PARK,Multifamily Housing,67064,1967,1,,75,1220346.1,4583757.5,,,90.3,128.1,96.6,134.2,433.9,6.8
The Theatre School,60614,4,LINCOLN PARK,College/University,163000,2013,1,,,2842561,6976008.3,,,60.2,93.8,62,95.6,814.2,5
Old Chicago Main Post Office,60607,,NEAR WEST SIDE,,3899026,,,,,,,,,,,,,,
118 S Clinton St,60661,3.5,NEAR WEST SIDE,Office,78751,1910,1,,55,3862754.7,,,,49.1,137.3,49.1,137.3,602.9,7.7
Carmen Hall,60616,4,DOUGLAS,Residence Hall/Dormitory,69559,1953,1,,100,1253780.3,44470,,,18.7,51.1,18.7,51.1,198,2.8
,60619,4,AVALON PARK,Multifamily Housing,113616,2009,1,,84,1721531.5,4113218.3,,,63,98.7,66,101.8,487.2,5.3
Miles Davis Elementary -CPS,60636,2.5,WEST ENGLEWOOD,K-12 School,104200,2008,1,,37,3973488.5,2414640.1,,,61.3,131.1,63.7,134.2,748.4,7.2
Merrimac Square III,60634,0,DUNNING,,71000,,,,,,,,,,,,,,
